station_id,station_name
446,"York Hall, Bethnal Green"
578,"Hollybush Gardens, Bethnal Green"
40,"Commercial Street, Shoreditch"
39,"Shoreditch High Street, Shoreditch"
401,"Columbia Road, Shoreditch"
750,"Culvert Road, Battersea"
374,"Waterloo Station 1, Waterloo"
565,"Selby Street, Whitechapel"
306,"Rathbone Street, Fitzrovia"
373,"Prince Consort Road, Knightsbridge"
32,"Leonard Circus , Shoreditch"
605,"Seymour Place, Marylebone"
228,"St. James's Square, St. James's"
513,"Watney Market, Stepney"
715,"Aylward Street, Stepney"
483,"Albert Gardens, Stepney"
511,"Sutton Street, Shadwell"
572,"Greenland Road, Camden Town"
749,"Haggerston Road, Haggerston"
320,"Queen Mother Sports Centre, Victoria"
702,"Durant Street, Bethnal Green"
625,"Queen's Circus, Battersea Park"
398,"Holland Park, Kensington"
671,"Parsons Green Station, Parsons Green"
639,"Coomer Place, West Kensington"
144,"Kennington Cross, Kennington"
227,"Great Percy Street, Clerkenwell"
231,"Queen's Gate (Central), South Kensington"
48,"Godliman Street, St. Paul's"
781,"Victoria & Albert Museum, South Kensington"
341,"Craven Street, Strand"
584,"Ilchester Gardens, Bayswater"
818,"One Tower Bridge, Bermondsey"
499,"Furze Green, Bow"
278,"Tooley Street, Bermondsey"
335,"Tavistock Street, Covent Garden"
361,"Waterloo Station 2, Waterloo"
454,"Napier Avenue, Millwall"
654,"Ashmole Estate, Oval"
707,"Barons Court Station, West Kensington"
508,"Fournier Street, Whitechapel"
729,"St. Peter's Terrace, Fulham"
197,"Stamford Street, South Bank"
167,"Eccleston Place, Victoria"
182,"Bell Street , Marylebone"
331,"Bunhill Row, Moorgate"
448,"Fisherman's Walk West, Canary Wharf"
99,"Old Quebec Street, Marylebone"
313,"Wells Street, Fitzrovia"
252,"Jubilee Gardens, South Bank"
146,"Vauxhall Bridge , Pimlico"
272,"Baylis Road, Waterloo"
740,"Sirdar Road, Avondale"
257,"Westminster University, Marylebone"
627,"Holden Street, Battersea"
713,"Hawley Crescent, Camden Town"
206,"New Road 1 , Whitechapel"
742,"Blenheim Crescent, Ladbroke Grove"
691,"Erin Close, Walham Green"
223,"Rodney Road , Walworth"
826,"Allington Street, Victoria"
827,"Cranmer Road, Stockwell"
568,"Bishop's Bridge Road West, Bayswater"
132,"Bethnal Green Road, Shoreditch"
485,"Old Ford Road, Bethnal Green"
62,"Cotton Garden Estate, Kennington"
712,"Mile End Stadium, Mile End"
5,"Sedding Street, Sloane Square"
790,"Stratford Station, Stratford"
25,"Doric Way , Somers Town"
87,"Devonshire Square, Liverpool Street"
196,"Union Street, The Borough"
280,"Royal Avenue 2, Chelsea"
163,"Sloane Avenue, Knightsbridge"
531,"Twig Folly Bridge, Mile End"
97,"Gloucester Road (North), Kensington"
802,"Albert Square, Stockwell"
159,"Great Marlborough Street, Soho"
388,"Southampton Street, Strand"
188,"Nutford Place, Marylebone"
177,"Ashley Place, Victoria"
470,"Mostyn Grove, Bow"
780,"Imperial Wharf Station, Sands End"
737,"Fulham Broadway, Walham Green"
194,"Hop Exchange, The Borough"
136,"Queen Victoria Street, St. Paul's"
597,"Fulham Park Road, Fulham"
744,"Ingrave Street, Clapham Junction"
510,"Westferry DLR, Limehouse"
305,"Kennington Lane Tesco, Vauxhall"
546,"New Fetter Lane, Holborn"
580,"Doddington Grove, Kennington"
180,"North Audley Street, Mayfair"
114,"Park Road (Baker Street), The Regent's Park"
782,"Halford Road, West Kensington"
739,"Hortensia Road, West Brompton"
758,"Westbourne Park Road, Portobello"
138,"Green Street, Mayfair"
67,"Hatton Garden, Holborn"
158,"Trebovir Road, Earl's Court"
111,"Park Lane , Hyde Park"
54,"Golden Lane, Barbican"
332,"Nevern Place, Earl's Court"
379,"Turquoise Island, Notting Hill"
245,"Grosvenor Road, Pimlico"
593,"Northdown Street, King's Cross"
8,"Maida Vale, Maida Vale"
290,"Winsland Street, Paddington"
433,"Wren Street, Holborn"
16,"Cartwright Gardens , Bloomsbury"
694,"Putney Rail Station, Putney"
149,"Kennington Road Post Office, Oval"
135,"Clerkenwell Green, Clerkenwell"
537,"Old Montague Street, Whitechapel"
761,"Humbolt Road, Fulham"
772,"Binfield Road, Stockwell"
104,"Crosswall, Tower"
411,"Walworth Road, Elephant & Castle"
74,"Vauxhall Cross, Vauxhall"
307,"Black Lion Gate, Kensington Gardens"
45,"Boston Place, Marylebone"
727,"Chesilton Road, Fulham"
220,"Chelsea Green, Chelsea"
821,"Battersea Power Station, Battersea Park"
330,"Eastbourne Mews, Paddington"
564,"Somerset House, Strand"
294,"St. George's Square, Pimlico"
26,"Ampton Street , Clerkenwell"
559,"Abbotsbury Road, Holland Park"
279,"North Wharf Road, Paddington"
61,"Great Dover Street, The Borough"
783,"Monier Road, Hackney Wick"
732,"Duke Street Hill, London Bridge"
756,"Prince of Wales Drive, Battersea Park"
613,"Woodstock Grove, Shepherd's Bush"
314,"Tyers Gate, Bermondsey"
684,"Neville Gill Close, Wandsworth"
156,"New Kent Road, The Borough"
723,"Stephendale Road, Sands End"
541,"Green Park Station, Mayfair"
719,"Victoria Park Road, Hackney Central"
507,"Clarkson Street, Bethnal Green"
107,"Finsbury Leisure Centre, St. Luke's"
676,"Hartington Road, Stockwell"
675,"Usk Road, Clapham Junction"
662,"Phene Street, Chelsea"
260,"Broadwick Street, Soho"
151,"Chepstow Villas, Notting Hill"
3,"Christopher Street, Liverpool Street"
141,"Chapel Place, Marylebone"
191,"Hyde Park Corner, Hyde Park"
641,"Archbishop's Park, Waterloo"
24,"British Museum, Bloomsbury"
673,"Hibbert Street, Battersea"
378,"Natural History Museum, South Kensington"
410,"Edgware Road Station, Marylebone"
271,"London Zoo,  The Regent's Park"
544,"Percival Street, Finsbury"
71,"Newgate Street , St. Paul's"
303,"Albert Gate, Hyde Park"
101,"Queen Street 1, Bank"
12,"Malet Street, Bloomsbury"
235,"Kennington Road  , Vauxhall"
571,"Westfield Southern Terrace ,Shepherd's Bush"
157,"Wright's Lane, Kensington"
225,"Notting Hill Gate Station, Notting Hill"
830,"Sidney Road, Stockwell"
755,"The Vale, Chelsea"
255,"Clifton Road, Maida Vale"
651,"Thorndike Close, West Chelsea"
681,"Bishop's Avenue, Fulham"
109,"Soho Square , Soho"
663,"Clarendon Road, Avondale"
518,"Antill Road, Mile End"
133,"Derry Street, Kensington"
471,"Hewison Street, Old Ford"
762,"Storey's Gate, Westminster"
436,"Red Lion Street, Holborn"
190,"Rampayne Street, Pimlico"
253,"Shoreditch Park, Hoxton"
828,"Normandy Road, Stockwell"
14,"Belgrove Street , King's Cross"
632,"Sheepcote Lane, Battersea"
832,"Ferndale Road, Brixton. "
140,"Finsbury Square , Moorgate"
22,"Northington Street , Holborn"
807,"Bevington Road West, North Kensington"
72,"Farringdon Lane, Clerkenwell"
476,"Stebondale Street, Cubitt Town"
79,"Arundel Street, Temple"
447,"Jubilee Crescent, Cubitt Town"
736,"Queensdale Road, Shepherd's Bush"
318,"Sackville Street, Mayfair"
786,"Lee Valley VeloPark, Queen Elizabeth Olympic Park"
18,"Drury Lane, Covent Garden"
600,"South Lambeth Road, Vauxhall"
83,"Panton Street, West End"
768,"Clapham Common North Side, Clapham Common"
698,"Shoreditch Court, Haggerston"
364,"Alfred Place, Bloomsbury"
300,"Serpentine Car Park, Hyde Park"
498,"Bow Road Station, Bow"
100,"Albert Embankment, Vauxhall"
766,"Ram Street, Wandsworth"
550,"Harford Street, Mile End"
839,"Sea Containers, South Bank"
512,"Pritchard's Road, Bethnal Green"
251,"Brushfield Street, Liverpool Street"
186,"South Wharf Road, Paddington"
522,"Clinton Road, Mile End"
75,"Torrens Street, Angel"
17,"Hatton Wall, Holborn"
375,"Kensington Town Hall, Kensington"
175,"Worship Street, Shoreditch"
408,"Paddington Green Police Station, Paddington"
726,"Alfreda Street, Battersea Park"
797,"Ossulston Street, Somers Town"
36,"De Vere Gardens, Kensington"
269,"Empire Square, The Borough"
383,"Frith Street, Soho"
815,"Lambeth Palace Road, Waterloo"
94,"Bricklayers Arms, Borough"
58,"New Inn Yard, Shoreditch"
176,"Gloucester Terrace, Bayswater"
246,"Berry Street, Clerkenwell"
444,"Bethnal Green Garden, Bethnal Green"
705,"Upper Richmond Road, Putney"
328,"New North Road 2, Hoxton"
787,"Timber Lodge, Queen Elizabeth Olympic Park"
521,"Driffield Road, Old Ford"
321,"Bermondsey Street, Bermondsey"
638,"Falcon Road, Clapham Junction"
695,"Islington Green, Angel"
682,"Crisp Road, Hammersmith"
799,"Kings Gate House, Westminster"
233,"Pall Mall East, West End"
293,"Kensington Olympia Station, Olympia"
195,"Milroy Walk, South Bank"
216,"Old Brompton Road, South Kensington"
760,"Rossmore Road, Marylebone"
284,"Lambeth North Station, Waterloo"
441,"Sail Street, Vauxhall"
591,"Westfield Library Corner, Shepherd's Bush"
266,"Queen's Gate (North), Kensington"
357,"Howland Street, Fitzrovia"
615,"Finlay Street, Fulham"
264,"Tysoe Street, Clerkenwell"
117,"Lollard Street, Vauxhall"
187,"Queen's Gate (South), South Kensington"
589,"Drayton Gardens, West Chelsea"
722,"Finnis Street, Bethnal Green"
629,"Morie Street, Wandsworth"
443,"Philpot Street, Whitechapel"
612,"Wandsworth Rd, Isley Court, Wandsworth Road"
178,"Warwick Square, Pimlico"
356,"South Kensington Station, South Kensington"
491,"Queen Mary's, Mile End"
526,"Lancaster Drive, Blackwall"
785,"Aquatic Centre, Queen Elizabeth Olympic Park"
500,"Ansell House, Stepney"
666,"Olympia Way, Olympia"
717,"Dunston Road , Haggerston"
664,"Austin Road, Battersea Park"
377,"Waterloo Bridge, South Bank"
741,"Freston Road, Avondale"
192,"Wardour Street, Soho"
73,"Old Street Station, St. Luke's"
432,"Exhibition Road Museums, South Kensington"
517,"Ford Road, Old Ford"
164,"Cleveland Gardens, Bayswater"
249,"Harper Road, The Borough"
217,"Wormwood Street, Liverpool Street"
360,"Howick Place, Westminster"
119,"Bath Street, St. Luke's"
126,"Museum of London, Barbican"
221,"Horseferry Road, Westminster"
789,"Podium, Queen Elizabeth Olympic Park"
455,"East Ferry Road, Cubitt Town"
121,"Baker Street, Marylebone"
262,"LSBU (Borough Road), Elephant & Castle"
85,"Tanner Street, Bermondsey"
644,"Rainville Road, Hammersmith"
310,"Black Prince Road, Vauxhall"
78,"Sadlers Sports Centre, Finsbury"
69,"Euston Road, Euston"
139,"Lambeth Road, Vauxhall"
86,"Sancroft Street, Vauxhall"
11,"Brunswick Square, Bloomsbury"
738,"Imperial Road, Sands End"
547,"East India DLR, Blackwall"
628,"William Morris Way, Sands End"
60,"Lisson Grove, St. John's Wood"
337,"Pembridge Villas, Notting Hill"
803,"Southwark Street, Bankside"
680,"Westbridge Road, Battersea"
76,"Longford Street, The Regent's Park"
110,"Wellington Road, St. John's Wood"
268,"Belgrave Road, Victoria"
404,"Palace Gate, Kensington Gardens"
267,"Regency Street, Westminster"
63,"Murray Grove , Hoxton"
199,"Great Tower Street, Monument"
82,"Chancery Lane, Holborn"
648,"Peterborough Road, Sands End"
458,"Wapping Lane, Wapping"
409,"Strata, Elephant & Castle"
734,"Plough Terrace, Clapham Junction"
833,"Saltoun Road, Brixton"
514,"Portman Square, Marylebone"
453,"Garnet Street, Shadwell"
64,"William IV Street, Strand"
467,"Southern Grove, Bow"
609,"Sugden Road, Clapham"
466,"Whiston Road, Haggerston"
480,"Flamborough Street, Limehouse"
172,"Sumner Place, South Kensington"
239,"Warren Street Station, Euston"
386,"Moor Street, Soho"
204,"Margery Street, Clerkenwell"
393,"Snow Hill, Farringdon"
596,"Parson's Green , Parson's Green"
730,"Bridge Avenue, Hammersmith"
419,"Chelsea Bridge, Pimlico"
435,"Kennington Station, Kennington"
619,"Irene Road, Parsons Green"
70,"Calshot Street , King's Cross"
665,"Smugglers Way, Wandsworth"
505,"Ackroyd Drive, Bow"
351,"Macclesfield Rd, St Lukes"
621,"Wandsworth Town Station, Wandsworth"
122,"Norton Folgate, Liverpool Street"
746,"Lots Road, West Chelsea"
769,"Sandilands Road, Walham Green"
367,"Harrowby Street, Marylebone"
131,"Eversholt Street , Camden Town"
829,"Wynne Road, Stockwell"
296,"Knaresborough Place, Earl's Court"
153,"Bayswater Road, Hyde Park"
496,"Devons Road, Bow"
387,"Fire Brigade Pier, Vauxhall"
115,"Braham Street, Aldgate"
66,"Holborn Circus, Holborn"
340,"Bank of England Museum, Bank"
358,"High Holborn , Covent Garden"
160,"Waterloo Place, St. James's"
658,"Ethelburga Estate, Battersea Park"
757,"Harcourt Terrace, West Brompton"
238,"Frampton Street, Paddington"
41,"Pindar Street, Liverpool Street"
55,"Finsbury Circus, Liverpool Street"
539,"Hoxton Station, Hoxton"
381,"Charlotte Street, Fitzrovia"
798,"Birkenhead Street, King's Cross"
326,"Graham Street, Angel"
462,"Bonny Street, Camden Town"
353,"Greycoat Street , Westminster"
166,"Seville Street, Knightsbridge"
125,"Borough High Street, The Borough"
776,"Abyssinia Close, Clapham Junction"
489,"Christian Street, Whitechapel"
324,"Ontario Street, Elephant & Castle"
810,"Tate Modern, Bankside"
400,"George Street, Marylebone"
277,"Kensington Church Street, Kensington"
276,"Lower Thames Street, Monument"
229,"Whitehall Place, Strand"
193,"Bankside Mix, Bankside"
509,"Fore Street, Guildhall"
657,"Blythe Road West, Shepherd's Bush"
553,"Regent's Row , Haggerston "
28,"Bolsover Street, Fitzrovia"
319,"Baldwin Street, St. Luke's"
670,"Ashley Crescent, Battersea"
77,"Russell Square Station, Bloomsbury"
652,"Evesham Street, Avondale"
427,"Cheapside, Bank"
420,"Southwark Station 1, Southwark"
270,"Kennington Lane Rail Bridge, Vauxhall"
685,"Osiers Road, Wandsworth"
162,"Southampton Place, Holborn"
403,"George Place Mews, Marylebone"
405,"Gloucester Road Station, South Kensington"
242,"Beaumont Street, Marylebone"
461,"Aston Street, Stepney"
311,"Foley Street, Fitzrovia"
376,"Millbank Tower, Pimlico"
80,"Webber Street , Southwark"
211,"Cadogan Place, Knightsbridge"
836,"York Way, Kings Cross"
595,"Hammersmith Road, Hammersmith"
142,"West Cromwell Road, Earl's Court"
527,"Hansard Mews, Holland Park"
243,"Gloucester Street, Pimlico"
124,"Eaton Square, Belgravia"
38,"Abingdon Villas, Kensington"
492,"The Green Bridge, Mile End"
583,"Abingdon Green, Westminster"
230,"Poured Lines, Bankside"
51,"Finsbury Library , Finsbury"
465,"Pitfield Street North,Hoxton"
603,"Caldwell Street, Stockwell"
733,"Park Lane, Mayfair"
495,"Bow Church Station, Bow"
234,"Liverpool Road (N1 Centre), Angel"
449,"Shadwell Station, Shadwell"
15,"Great Russell Street, Bloomsbury"
350,"Queen's Gate, Kensington Gardens"
282,"Royal London Hospital, Whitechapel"
31,"Fanshaw Street, Hoxton"
148,"Tachbrook Street, Victoria"
244,"Earnshaw Street , Covent Garden"
