station_id,station_name
622,"Lansdowne Road, Ladbroke Grove"
368,"Harriet Street, Knightsbridge"
329,"Prince Albert Road, The Regent's Park"
636,"South Park, Sands End"
661,"All Saints Church, Portobello"
792,"Blackfriars Road, Southwark"
773,"Tallis Street, Temple"
106,"Woodstock Street, Mayfair"
155,"Lexham Gardens, Kensington"
359,"Butler Place, Westminster"
392,"Imperial College, Knightsbridge"
218,"St. Luke's Church, Chelsea"
569,"Pitfield Street Central, Hoxton"
570,"Upper Bank Street, Canary Wharf"
647,"Richmond Way, Shepherd's Bush"
47,"Warwick Avenue Station, Maida Vale"
424,"Ebury Bridge, Pimlico"
735,"Grant Road East, Clapham Junction"
33,"Central House, Aldgate"
248,"Triangle Car Park, Hyde Park"
501,"Cephas Street, Bethnal Green"
748,"Hertford Road, De Beauvoir Town"
562,"Bury Place, Holborn"
89,"Tavistock Place, Bloomsbury"
143,"Pont Street, Knightsbridge"
457,"Castlehaven Road, Camden Town"
189,"Claremont Square, Angel"
558,"Page Street, Westminster"
607,"Putney Bridge Station, Fulham"
693,"Felsham Road, Putney"
210,"Hinde Street, Marylebone"
439,"Killick Street, King's Cross"
775,"Little Brook Green, Brook Green"
653,"Simpson Street, Clapham Junction"
764,"St. John's Road, Clapham Junction"
154,"Waterloo Station 3, Waterloo"
34,"Pancras Road, King's Cross"
288,"Elizabeth Bridge, Victoria"
706,"Snowsfields, London Bridge"
88,"Bayley Street , Bloomsbury"
44,"Bruton Street, Mayfair"
344,"Goswell Road (City Uni), Finsbury"
437,"Vauxhall Walk, Vauxhall"
450,"Jubilee Street, Stepney"
65,"Gower Place , Euston"
108,"Abbey Orchard Street, Westminster"
440,"Kennington Oval, Oval"
7,"Charlbert Street, St. John's Wood"
347,"Lower Marsh, Waterloo"
679,"Orbel Street, Battersea"
354,"Northumberland Avenue, Strand"
317,"Dickens Square, Borough"
667,"Shepherd's Bush Road North, Shepherd's Bush"
637,"Spencer Park, Wandsworth Common"
535,"Gloucester Avenue, Camden Town"
587,"Monument Street, Monument"
394,"Aberdeen Place, St. John's Wood"
170,"Hardwick Street, Clerkenwell"
95,"Aldersgate Street, Barbican"
213,"Wellington Arch, Hyde Park"
2,"Phillimore Gardens, Kensington"
820,"Victory Place, Walworth"
452,"St. Katharine's Way, Tower"
275,"Barbican Centre, Barbican"
747,"Ormonde Gate, Chelsea"
250,"Royal Avenue 1, Chelsea"
588,"Hoxton Street, Hoxton"
258,"Kensington Gore, Knightsbridge"
57,"Guilford Street , Bloomsbury"
784,"East Village, Queen Elizabeth Olympic Park"
365,"City Road, Angel"
669,"Teversham Lane, Stockwell"
256,"Houghton Street, Strand"
56,"Paddington Street, Marylebone"
30,"Windsor Terrace, Hoxton"
428,"Exhibition Road, Knightsbridge"
29,"Hereford Road, Bayswater"
299,"Vincent Square, Westminster"
169,"Porchester Place, Paddington"
129,"Golden Square, Soho"
804,"Good's Way, King's Cross"
506,"Bell Lane, Liverpool Street"
214,"Endsleigh Gardens, Euston"
800,"Sopwith Way, Battersea Park"
551,"Import Dock, Canary Wharf"
834,"Gas Holders, Battersea Park"
692,"Cadogan Close, Victoria Park"
574,"Eagle Wharf Road, Hoxton"
660,"West Kensington Station, West Kensington"
710,"Albert Bridge Road, Battersea Park"
524,"Lancaster Gate , Bayswater"
610,"Danvers Street, West Chelsea"
174,"Strand, Strand"
561,"Rectory Square, Stepney"
831,"St John's Crescent, Brixton"
806,"Handyside Street, King's Cross"
545,"Arlington Road, Camden Town"
390,"Buxton Street 1, Shoreditch"
372,"Sardinia Street, Holborn"
240,"Colombo Street, Southwark"
389,"Upper Grosvenor Street, Mayfair"
626,"Normand Park, West Kensington"
503,"Cleveland Way, Stepney"
46,"Nesham Street, Wapping"
27,"Bouverie Street, Temple"
425,"Harrington Square 2, Camden Town"
312,"Grove End Road, St. John's Wood"
646,"Buckingham Gate, Westminster"
478,"Stepney Green Station, Stepney"
128,"Emperor's Gate, South Kensington"
421,"Southwark Station 2, Southwark"
295,"Swan Street, The Borough"
200,"LMU Commercial Road, Whitechapel"
618,"Eel Brook Common, Walham Green"
533,"Wellington Row, Bethnal Green"
184,"Portland Place, Marylebone"
655,"Crabtree Lane, Fulham"
536,"Queensbridge Road, Haggerston"
486,"Granby Street, Shoreditch"
656,"Broomhouse Lane, Parsons Green"
6,"Broadcasting House, Marylebone"
287,"Bedford Way, Bloomsbury"
801,"Lavington Street, Bankside"
237,"Dock Street, Wapping"
703,"St. Bride Street, Holborn"
185,"Alderney Street, Pimlico"
203,"West Smithfield Rotunda, Farringdon"
602,"Union Grove, Wandsworth Road"
134,"Wapping High Street, Wapping"
202,"Leman Street, Aldgate"
788,"Copper Box Arena, Queen Elizabeth Olympic Park"
152,"Hampton Street, Walworth"
395,"Cadogan Gardens, Chelsea"
426,"Vincent Street, Pimlico"
456,"Parkway, Camden Town"
323,"Clifton Street, Shoreditch"
292,"Montpelier Street, Knightsbridge"
556,"Heron Quays DLR, Canary Wharf"
91,"Walnut Tree Walk, Vauxhall"
309,"Embankment (Savoy), Strand"
123,"St. John Street, Finsbury"
333,"Palace Gardens Terrace, Notting Hill"
577,"Globe Town Market, Bethnal Green"
50,"East Road, Hoxton"
301,"Marylebone Lane, Marylebone"
105,"Westbourne Grove, Bayswater"
631,"Battersea Park Road, Nine Elms"
315,"The Tennis Courts, The Regent's Park"
534,"Goldsmith's Row, Haggerston"
751,"Newton Street, Covent Garden"
98,"Hampstead Road, Euston"
718,"Ada Street, Hackney Central"
488,"Reardon Street, Wapping"
397,"Devonshire Terrace, Bayswater"
150,"Holy Trinity Brompton, Knightsbridge"
116,"Little Argyll Street, West End"
349,"St. George Street, Mayfair"
745,"Upcerne Road, West Chelsea"
366,"Millennium Hotel, Mayfair"
479,"Pott Street, Bethnal Green"
201,"Dorset Square, Marylebone"
338,"Wellington Street , Strand"
451,"Hermitage Court, Wapping"
819,"Belvedere Road 2, South Bank"
721,"Wendon Street, Old Ford"
594,"Kingsway Southbound, Strand"
528,"Clarges Street, Mayfair"
103,"Vicarage Gate, Kensington"
477,"Spindrift Avenue, Millwall"
633,"Vereker Road, West Kensington"
84,"Breams Buildings, Holborn"
263,"St. Mary Axe, Aldgate"
120,"The Guildhall, Guildhall"
838,"Fore Street Avenue, Guildhall"
763,"Mile End Park Leisure Centre, Mile End"
598,"Southerton Road, Hammersmith"
592,"Bishop's Bridge Road East, Bayswater"
704,"Mexfield Road, East Putney"
642,"Fawcett Close, Battersea"
611,"Princedale Road , Holland Park"
232,"Carey Street, Holborn"
668,"Ravenscourt Park Station, Hammersmith"
616,"Aintree Street, Fulham"
399,"Brick Lane Market, Shoreditch"
343,"London Zoo Car Park, The Regent's Park"
459,"Gunmakers Lane, Old Ford"
130,"Tower Gardens , Tower"
532,"Jubilee Plaza, Canary Wharf"
298,"Curlew Street, Shad Thames"
219,"Bramham Gardens, Earl's Court"
13,"Scala Street, Fitzrovia"
817,"Riverlight South, Nine Elms"
579,"Queen Street 2, Bank"
118,"Rochester Row, Westminster"
573,"Limerston Street, West Chelsea"
265,"Southwick Street, Paddington"
649,"World's End Place, West Chelsea"
519,"Teviot Street, Poplar"
777,"Limburg Road, Clapham Junction"
805,"Bevington Road, North Kensington"
42,"Wenlock Road , Hoxton"
812,"Here East North, Queen Elizabeth Olympic Park"
530,"Newby Place, Poplar"
19,"Taviton Street, Bloomsbury"
168,"Argyll Road, Kensington"
173,"Waterloo Road, South Bank"
283,"Kingsway, Covent Garden"
247,"St. John's Wood Church, The Regent's Park"
445,"Cheshire Street, Bethnal Green"
302,"Putney Pier, Wandsworth"
181,"Belgrave Square, Belgravia"
102,"Jewry Street, Aldgate"
620,"Surrey Lane, Battersea"
352,"Vauxhall Street, Vauxhall"
286,"St. John's Wood Road, St. John's Wood"
4,"St. Chad's Street, King's Cross"
430,"South Parade, Chelsea"
9,"New Globe Walk, Bankside"
696,"Charing Cross Hospital, Hammersmith"
43,"Crawford Street, Marylebone"
348,"Grosvenor Square, Mayfair"
650,"St. Mark's Road, North Kensington"
796,"Coram Street, Bloomsbury"
183,"Riverlight North, Nine Elms"
215,"Moorfields, Moorgate"
497,"Merchant Street, Bow"
640,"Silverthorne Road, Battersea"
566,"Westfield Ariel Way, White City"
345,"Flood Street, Chelsea"
811,"Westferry Circus, Canary Wharf"
472,"Malmesbury Road, Bow"
529,"Manresa Road, Chelsea"
236,"Fashion Street, Whitechapel"
273,"Belvedere Road 1, South Bank"
767,"Santos Road, Wandsworth"
753,"Hammersmith Town Hall, Hammersmith"
720,"Star Road, West Kensington"
601,"BBC White City, White City"
226,"Charles II Street, West End"
687,"Maclise Road, Olympia"
370,"Paddington Green, Paddington"
339,"Risinghill Street, Angel"
475,"Lightermans Road, Millwall"
794,"Lansdowne Way Bus Garage, Stockwell"
281,"Smith Square, Westminster"
731,"Michael Road, Walham Green"
68,"Theobald's Road , Holborn"
700,"Battersea Church Road, Battersea"
809,"Lincoln's Inn Fields, Holborn"
835,"Farringdon Street, Holborn"
709,"Montserrat Road , Putney"
581,"New Cavendish Street, Marylebone"
10,"Park Street, Bankside"
590,"Greenberry Street, St.John's Wood"
754,"Grenfell Road, Avondale"
336,"Concert Hall Approach 2, South Bank"
481,"Saunders Ness Road, Cubitt Town"
161,"Guildhouse Street, Victoria"
490,"Pennington Street, Wapping"
412,"Cleaver Street, Kennington"
37,"Penywern Road, Earl's Court"
604,"St Martins Close, Camden Town"
325,"St. Martin's Street, West End"
540,"Albany Street, The Regent's Park"
171,"Collingham Gardens, Earl's Court"
643,"All Saints' Road, Portobello"
261,"Princes Square, Bayswater"
322,"Palissy Street, Shoreditch"
431,"Crinan Street, King's Cross"
355,"Oval Way, Vauxhall"
362,"Royal College Street, Camden Town"
209,"Denyer Street, Knightsbridge"
222,"Knightsbridge, Hyde Park"
113,"Gloucester Road (Central), South Kensington"
254,"Chadwell Street, Angel"
53,"Grafton Street, Mayfair"
473,"Millharbour, Millwall"
701,"Vicarage Crescent, Battersea"
816,"Here East South, Queen Elizabeth Olympic Park"
20,"Drummond Street , Euston"
423,"Eaton Square (South), Belgravia"
442,"Walmer Road, Avondale"
795,"Euston Square Gardens, Euston"
683,"Dorothy Road, Clapham Junction"
308,"Long Lane , Bermondsey"
686,"Beryl Road, Hammersmith"
23,"Red Lion Square, Holborn"
617,"Elysium Place, Fulham"
49,"Curzon Street, Mayfair"
770,"Gwendwr Road, West Kensington"
759,"Broadley Terrace, Marylebone"
623,"Nantes Close, Wandsworth"
586,"Mudchute DLR, Cubitt Town"
402,"Penfold Street, Marylebone"
543,"Lansdowne Walk, Ladbroke Grove"
469,"Lindfield Street, Poplar"
674,"Carnegie Street, King's Cross"
274,"Warwick Road, Olympia"
548,"Westminster Bridge Road, Elephant & Castle"
779,"Houndsditch, Aldgate"
297,"Geraldine Street, Elephant & Castle"
765,"Ranelagh Gardens, Fulham"
599,"Manbre Road, Hammersmith"
515,"Russell Gardens, Olympia"
112,"Stonecutter Street, Holborn"
327,"New North Road 1, Hoxton"
542,"Salmon Lane, Limehouse"
549,"Gaywood  Street, Elephant & Castle"
460,"Burdett Road, Mile End"
384,"Marloes Road, Kensington"
208,"Mallory Street, Marylebone"
634,"Brook Green South, Brook Green"
145,"Ilchester Place, Kensington"
212,"Campden Hill Road, Notting Hill"
52,"Roscoe Street, St. Luke's"
371,"King Edward Walk, Waterloo"
92,"Borough Road, Elephant & Castle"
699,"Belford House, Haggerston"
552,"Watney Street, Shadwell"
714,"Stewart's Road, Wandsworth Road"
538,"Naval Row, Blackwall"
96,"Falkirk Street, Hoxton"
557,"King Edward Street, St Pauls"
93,"Cloudesley Road, Angel"
688,"Northfields, Wandsworth"
563,"Preston's Road, Cubitt Town"
708,"Disraeli Road, Putney"
127,"Wood Street, Guildhall"
630,"Clarence Walk, Stockwell"
624,"Courland Grove, Wandsworth Road"
474,"Castalia Square, Cubitt Town"
677,"Heath Road, Battersea"
363,"Lord's, St. John's Wood"
259,"Bourne Street, Belgravia"
1,"River Street , Clerkenwell"
635,"Greyhound Road, Hammersmith"
614,"Bradmead, Battersea Park"
774,"Hurlingham Park, Parsons Green"
207,"Grosvenor Crescent, Belgravia"
689,"Spanish Road, Clapham Junction"
576,"Alpha Grove, Millwall"
697,"Charlotte Terrace, Angel"
516,"Chrisp Street Market, Poplar"
90,"Harrington Square 1, Camden Town"
645,"Great Suffolk Street, The Borough"
380,"Stanhope Gate, Mayfair"
678,"Esmond Street, Putney"
504,"St. John's Park, Cubitt Town"
711,"Everington Street, Fulham"
484,"Bromley High Street, Bow"
793,"Cromer Street, Bloomsbury"
523,"Langdon Park, Poplar"
468,"Cantrell Road, Bow"
606,"Addison Road, Holland Park"
728,"Putney Bridge Road, East Putney"
554,"Aberfeldy Street, Poplar"
463,"Thurtle road, Haggerston"
464,"St. Mary & St. Michael Church, Stepney"
81,"Great Titchfield Street, Fitzrovia"
334,"Concert Hall Approach 1, South Bank"
813,"New Spring Gardens Walk, Vauxhall"
608,"Colet Gardens, Hammersmith"
724,"Alma Road, Wandsworth"
716,"Stainsby Road , Poplar"
690,"Stanley Grove, Battersea"
165,"Orsett Terrace, Bayswater"
560,"Ladbroke Grove Central, Ladbroke Grove"
396,"Shouldham Street, Marylebone"
494,"South Quay East, Canary Wharf"
743,"Oxford Road, Putney"
771,"Rifle Place, Avondale"
487,"Canton Street, Poplar"
21,"Hampstead Road (Cartmel), Euston"
752,"Manfred Road, East Putney"
382,"Farm Street, Mayfair"
289,"South Audley Street, Mayfair"
291,"Claverton Street, Pimlico"
520,"Bancroft Road, Bethnal Green"
14,"Belgrove Street, King's Cross"
596,"Parson's Green, Parson's Green"
717,"Dunston Road, Haggerston"
553,"Regent's Row, Haggerston "
32,"Leonard Circus, Shoreditch"
25,"Doric Way, Somers Town"
353,"Greycoat Street, Westminster"
80,"Webber Street, Southwark"
88,"Bayley Street, Bloomsbury"
57,"Guilford Street, Bloomsbury"
130,"Tower Gardens, Tower"
571,"Westfield Southern Terrace,Shepherd's Bush"
244,"Earnshaw Street, Covent Garden"
140,"Finsbury Square, Moorgate"
235,"Kennington Road , Vauxhall"
65,"Gower Place, Euston"
111,"Park Lane, Hyde Park"
611,"Princedale Road, Holland Park"
16,"Cartwright Gardens, Bloomsbury"
26,"Ampton Street, Clerkenwell"
131,"Eversholt Street, Camden Town"
71,"Newgate Street, St. Paul's"
206,"New Road 1, Whitechapel"
338,"Wellington Street, Strand"
109,"Soho Square, Soho"
308,"Long Lane, Bermondsey"
709,"Montserrat Road, Putney"
42,"Wenlock Road, Hoxton"
814,"Clapham Road, Lingham Street, Stockwell"
51,"Finsbury Library, Finsbury"
716,"Stainsby Road, Poplar"
68,"Theobald's Road, Holborn"
22,"Northington Street, Holborn"
223,"Rodney Road, Walworth"
524,"Lancaster Gate, Bayswater"
146,"Vauxhall Bridge, Pimlico"
70,"Calshot Street, King's Cross"
63,"Murray Grove, Hoxton"
182,"Bell Street, Marylebone"
1,"River Street, Clerkenwell"
20,"Drummond Street, Euston"
808,"Stockwell Roundabout, Stockwell"